"","simTime","arrivalRate"
"1",960,8.57995129209787
"2",1020,8.40406693601397
"3",1080,8.03425451898563
"4",1140,7.66115319148148
"5",1200,7.76055124128084
"6",1260,7.59575085861371
"7",1320,6.98494412303387
"8",1380,7.53242659119651
"9",1440,7.9643191651039
"10",1500,8.10054594195928
"11",1560,7.78718675455282
"12",1620,7.40735483546055
"13",1680,7.06229899968943
"14",1740,6.80351656308707
"15",1800,6.73744966446451
"16",1860,6.63151763057951
"17",1920,6.81241199262302
"18",1980,6.67893000532986
"19",2040,7.14108233709868
"20",2100,7.07948718151642
"21",2160,7.71169240962862
"22",2220,7.85135126502643
"23",2280,8.13968033348986
"24",2340,8.07799290687836
"25",2400,8.17318966905091
"26",2460,8.25422629098832
"27",2520,8.19376866771032
"28",2580,8.34450868739839
"29",2640,8.4216013003179
"30",2700,8.46228525249337
"31",2760,8.55125570981399
"32",2820,8.30308740699886
"33",2880,7.92500125750039
"34",2940,8.18429011899861
"35",3000,7.99761019501052
"36",3060,8.09080494738531
"37",3120,7.92990390737169
"38",3180,12.185387889736
"39",3240,16.197955788046
"40",3300,16.5285596392516
"41",3360,16.526869330905
"42",3420,18.0582071573422
"43",3480,18.1042968334919
"44",3540,17.9209202765449
"45",3600,19.5626561800952
"46",3660,19.7920579250933
"47",3720,20.2490251693727
"48",3780,22.005307076896
"49",3840,23.4703207116618
"50",3900,24.1030556985449
"51",3960,25.3799524260932
"52",4020,26.9848079232103
"53",4080,26.7179236525759
"54",4140,27.0361202145269
"55",4200,26.525921845931
"56",4260,28.2999463685226
"57",4320,29.5051443031556
"58",4380,29.9933188929378
"59",4440,30.7101137924809
"60",4500,31.4327474924186
"61",4560,33.806659761809
"62",4620,38.9667607447257
"63",4680,52.4327444491838
"64",4740,57.6232934393622
"65",4800,60.6949659691902
"66",4860,62.0939295942974
"67",4920,57.1761836943963
"68",4980,59.1120169189324
"69",5040,63.5258072152591
"70",5100,70.2283767125063
"71",5160,61.3979488456601
"72",5220,43.8481984016882
"73",5280,39.2816918513897
"74",5340,35.6762577536303
"75",5400,33.533209568195
"76",5460,32.3223945684247
"77",5520,32.7410882503887
"78",5580,41.1141997830601
"79",5640,46.4850602286481
"80",5700,47.5517111469593
"81",5760,50.8552635079687
"82",5820,51.9446768739492
"83",5880,50.1116221709928
"84",5940,53.1357612955764
"85",6000,55.1995349829006
"86",6060,53.7988626667013
"87",6120,37.8883362450114
"88",6180,31.3547508043273
"89",6240,28.1960353511135
"90",6300,25.437465202981
